record_id,database_source,author,year,title,journal,doi,abstract_snippet,duplicate_of,ta_decision,ta_exclusion_reason,ft_available,ft_decision,ft_exclusion_reason,included_in_review,notes,ta_confidence,screening_signal
REC-0001,OpenAlex,A G Orisile; R H M Lim; A A Naqvi; Abraham Mainaji Amlogu,2026,Understanding how community pharmacists in Nigeria steward antimicrobials: an interview study,International Journal of Pharmacy Practice,10.1093/ijpp/riag034.016,"Abstract Introduction Antimicrobial resistance (AMR) is a global public health challenge, largely driven by inappropriate antimicrobial use in community settings, resulting in significant economic costs.[1] In Nigeria, community pharmacists are well-positioned to support antimicrobial stewardship (AMS) programmes but remain underutilised. Limited evidence exists on how community pharmacists balance ethical responsibilities with patient demands or strengthen stewardship within an existing regu...",,Exclude,Review/qualitative/editorial (title),,,,,[AUTO-R2] Title match - verify,MEDIUM,
REC-0002,OpenAlex,Abdulghani Aljermmy,2026,"Non-prescription acquisition of antibiotics in community pharmacies in Marib, Yemen: a cross-sectional study",Research Square,10.21203/rs.3.rs-8971365/v1,,,Maybe,No abstract - cannot screen; retrieve full text,,,,,[AUTO-R2] Title match - verify,LOW,
REC-0004,OpenAlex,Abdullahi Abdulrasheed; Josiane Awan Kfutua Aben; Abubakar Abubakar Musa; Balkisu Abubakar; Abdu Bello Gololo,2026,"Non-Prescription Antibiotic Dispensing and Community Antimicrobial Resistance Risk in Kaduna Metropolis, Nigeria: A Mixed-Methods Geospatial Study",International Journal of Global Health and Epidemiology,10.54117/e6nz4q98,"Background: Antimicrobial resistance (AMR) poses one of the most serious public health threats globally, with disproportionate burden in low- and middle-income countries such as Nigeria. Non-prescription antibiotic dispensing at pharmacy and patent medicine vendor (PPMV) outlets is an under-regulated driver of AMR risk. This study investigated pharmaceutical outlet distribution, non-prescription antibiotic dispensing, and social network dynamics as drivers of AMR risk in Kaduna metropolis, Ni...",,Maybe,Community pharmacy + LMIC + AB dispensing - verify study design for intervention arm,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0009,OpenAlex,Allan Okeyo,2026,"Community pharmacies, lived spaces and street-level bureaucracy in antibiotic dispensing in Kisumu, Kenya",Gradus,10.47833/2026.1.art.003,"Community pharmacies function as critical, accessible healthcare spaces where antibiotic utilisation is often negotiated outside formal clinical settings. Despite regulations requiring prescriptions, antibiotics are frequently dispensed without them, particularly in low- and middle-income countries. This study examines community pharmacies as lived spaces where street-level bureaucratic practices such as gatekeeping and discretionary decision-making intersect with antibiotic access and use. A...",,Exclude,No relevant signals in title or abstract,,,,,[AUTO-R3] Possible intervention study - verify design,MEDIUM,
REC-0010,OpenAlex,Anan S Jarab; Walid A Al Qerem; Karem H. Alzoubi; Shrouq Abu Heshmeh; Ahmad nor Aldin Alzoubi et al.,2026,"Pharmacists’ knowledge, attitudes, and practices of dispensing antibiotics without a prescription",Pharmacy Practice,10.18549/pharmpract.2025.4.3250,"Background: Antibiotics have become some of the most widely used and essential tools in the healthcare system, with the advantage of saving millions of lives. However, the overuse and misuse of antibiotics led to the emergence of resistant microorganisms. Objective: To assess community pharmacists’ knowledge, attitude, and practice in relation to dispensing antibiotics without prescription. Methods: In this cross sectional study, a validated survey was distributed in person as Google Forms to...",,Maybe,Possible relevance - verify study design,,,,,[AUTO-R2] Title match - verify,MEDIUM,
REC-0016,OpenAlex,Bishesh Bista; Dirgha Raj Joshi,2026,From Policy to Practice: Weak Enforcement of Antibiotic Dispensing Regulations as a Patient Safety Threat in Nepal,Trends in pharmacy.,10.5152/tip.2026.26004,"Effective pharmacy regulation is essential for ensuring patient safety, rational medicine use, and the responsible management of antimicrobial resistance. Although Nepal has established regulatory frameworks, including the Drug Act 1978 and policies restricting non-prescription antibiotic sales, enforcement remains weak and inconsistent. Evidence from multiple studies indicates that antibiotics are frequently dispensed without valid prescriptions in community pharmacies, often by personnel la...",,Exclude,No relevant signals in title or abstract,,,,,[AUTO-R3] Possible intervention study - verify design,MEDIUM,
REC-0018,PubMed,Bustami Mona; Abed Anas; Almazari Inas; AlQatarneh Rahaf; Abu Assab Shahd et al.,2026,Non-prescription antibiotic dispensing in community pharmacies in jordan: a simulated patient study.,Libyan J Med,10.1080/19932820.2026.2713956,"Inappropriate antibiotic use in community settings is a major contributor to antimicrobial resistance, particularly in low- and middle-income countries where regulatory enforcement may be inconsistent. Community pharmacies are a critical interface between health systems and the public; however, real-world dispensing practices remain insufficiently characterized in many settings. This study evaluated the prevalence, behavioral drivers, and clinical quality of non-prescription antibiotic dispen...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0019,PubMed,Caamaño-López Juan Camilo; Torres-Chaverra Rafael José; Fonseca-Meneses Aylem Nathalia; Pérez-Cujia Eliat Jabit; Domínguez-Quintero Valentina et al.,2026,"High prevalence of antibiotic purchase without prescription in community pharmacies in Bucaramanga, Colombia.",IJID Reg,10.1016/j.ijregi.2026.100956,"OBJECTIVES: Self-medication is a key driver of antimicrobial resistance, and despite regulatory restrictions in Colombia, nonprescription antibiotic sales remain a significant public health concern. This study aimed to describe the purchase of antibiotics without a prescription in community pharmacies located in neighborhoods of Bucaramanga, Colombia, and to identify associated factors. METHODS: Cross-sectional study. We included adult customers of community pharmacies in Bucaramanga (10 neig...",,Maybe,Possible relevance - verify study design,,,,,[AUTO-R2] Title match - verify,MEDIUM,
REC-0028,PubMed,Darweesh Omeed; Godman Brian; Kurdi Amanj,2026,Non-prescription antibiotic dispensing and counseling practices in Iraqi community pharmacies: implications for antimicrobial stewardship and resistance containment.,Expert Rev Anti Infect Ther,10.1080/14787210.2026.2663104,"BACKGROUND: To assess the prevalence, characteristics, dispensing practices, and counseling behavior of non-prescription antibiotic dispensing among Iraqi community pharmacies to inform antimicrobial stewardship (AMS) policy. RESEARCH DESIGN AND METHODS: A cross-sectional simulated client study was conducted among 696 pharmacies across five Iraqi provinces. Standardized scenarios of upper respiratory tract infection were used to evaluate dispensing behavior, counseling quality (defined as whe...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0031,PubMed,Faturakhim Faturakhim; Insani Widya Norma; Kautsar Angga Prawira,2026,"Non-prescription antibiotic dispensing in community pharmacies in LMICs: a systematic review of prevalence, drivers, and policy implications.",BMC Health Serv Res,10.1186/s12913-026-14194-x,"BACKGROUND: Community pharmacists dispensing antibiotics without a prescription (DAwP) remain a contributing factor to antimicrobial resistance (AMR) in low- and middle-income countries (LMICs). Multiple structural, behavioral, and systemic factors influence this practice, yet the diversity and interaction of these drivers remain insufficiently explored. OBJECTIVE: This systematic literature review aims to identify and synthesize the internal and external factors contributing to DAwP among co...",,Exclude,Review/meta-analysis/editorial,,,,,[AUTO] Strong inclusion signal,HIGH,
