record_id,database_source,author,year,title,journal,doi,abstract_snippet,duplicate_of,ta_decision,ta_exclusion_reason,ft_available,ft_decision,ft_exclusion_reason,included_in_review,notes,ta_confidence,screening_signal
REC-0062,PubMed,Saha Sajal Kumar; Muleme Michael; Hecke Oliver Van; Chatterton Mary Lou; Athan Eugene,2026,Feasibility of C-reactive protein point-of-care testing for antibiotic stewardship in rural GP-pharmacy settings.,Antimicrob Steward Healthc Epidemiol,10.1017/ash.2026.10401,"OBJECTIVE: To assess the feasibility of implementing C-reactive protein point-of-care testing (CRP-PoCT) for patients presenting with respiratory tract infections (RTIs) in primary care. DESIGN: Feasibility study. SETTING: General practice (GP) and community pharmacy in rural Victoria. PATIENTS OR PARTICIPANTS: Five GPs and a community pharmacist used CRP-PoCT for RTI patients aged 12-65 years for two months between August and December 2023. METHODS: Data on testing, prescribing, and implemen...",,Include,CRP POCT intervention + stewardship - verify community pharmacy LMIC setting,,,,,[AUTO] Strong inclusion signal,HIGH,
REC-0302,OpenAlex,Arifa Saif; Tahir Mehmood Khan; Allah Bukhsh; Muhammad Osama Yaseen; Alia Saif,2024,"Cross-sectional survey to explore knowledge, attitude, practices and impact of an intervention programme related to antibiotic misuse and self-medication among general population of Pakistan",BMJ Public Health,10.1136/bmjph-2023-000758,"Objective: The objective of this study is to observe the knowledge, attitude and practices related to antibiotic use, the prevalence of self-medication and non-adherence to the prescribed course of antibiotics across Pakistan. Method: A cross-sectional quantitative study on knowledge, practices, attitude and adherence to antibiotic therapy was conducted from January 2021 to March 2022 among the adult population living in different areas across Pakistan. Individuals with poor knowledge were se...",,Include,KAP + intervention impact study - verify design,,,,,[AUTO-R2] Title match - verify,HIGH,
REC-0459,OpenAlex,Theodoor Visser; Jeremiah Laktabai; Emmah Kimachas; Joseph Kipkoech; Diana Menya et al.,2024,"A cluster-randomized trial of client and provider directed financial interventions to align incentives with appropriate case management in private medicine retailers: Results of the TESTsmART trial in Lagos, Nigeria",PLOS Global Public Health,10.1371/journal.pgph.0002938,"Malaria remains a major health priority in Nigeria. Among children with fever who seek care, less than a quarter gets tested for malaria, leading to inappropriate use of the recommended treatment for malaria; Artemisinin-based Combination Therapy (ACT). Here we test an innovative strategy to target ACT subsidies to clients seeking care in Nigeria's private retail health sector who have a confirmed malaria diagnosis. We supported point-of-care malaria testing (mRDTs) in 48 Private Medicine Ret...",,Include,Cluster RCT financial interventions → drug shops - verify antibiotic dispensing outcome,,,,,[AUTO] Strong inclusion signal,HIGH,
REC-0469,PubMed,Vinh Nguyen Nam; Do Nga Thi Thuy; Vu Huong Thi Lan; Bui Phuong Bich; Pham Thai Quang et al.,2024,Understanding Acceptability and Willingness-to-pay for a C-reactive Protein Point-of-care Testing Service to Improve Antibiotic Dispensing for Respiratory Infections in Vietnamese Pharmacies: A Mixed-methods Study.,Open Forum Infect Dis,10.1093/ofid/ofae445,"BACKGROUND: Pharmacies are popular first points of contact for mild infections in the community. Pharmacy services in many countries have expanded to include vaccines and point-of-care tests. In low- and middle-income countries such as Vietnam, poor enforcement of regulations results in substantial volumes of over-the-counter antibiotic sales. Point-of-care tests could provide an economically viable way to reduce antibiotic sales, while still satisfying customer demand for convenient healthca...",,Include,CRP POCT acceptability + willingness-to-pay - verify community pharmacy LMIC,,,,,[AUTO-R2] Title match - verify,HIGH,
REC-0518,OpenAlex,Aurélie Bocquier; Anaïs Essilini; Ouarda Pereira; Adeline Welter; Céline Pulcini et al.,2023,"Impact of a public commitment charter, a non-prescription pad and an antibiotic information leaflet to improve antibiotic prescription among general practitioners: A randomised controlled study",Journal of Infection and Public Health,10.1016/j.jiph.2023.11.027,"BACKGROUND: This study evaluated the effect of a multifaceted antibiotic stewardship intervention on the overall prescription of systemic antibiotics in primary care. Secondary objectives evaluated the effect on the prescription of broad-spectrum antibiotics and the seasonal variation of both total antibiotic and quinolone prescriptions, as a proxy for unnecessary prescribing. METHODS: This pragmatic, randomised, controlled, before-after intervention study was conducted among general practiti...",,Include,Public commitment charter + non-prescription pad + info leaflet → antibiotic dispensing,,,,,[AUTO-R2] Title match - verify,HIGH,
REC-1054,OpenAlex,Doaa Saleh; Rana Abu Farha; Eman Alefishat,2021,Impact of Educational Intervention to Promote Jordanian Community Pharmacists’ Knowledge and Perception Towards Antimicrobial Stewardship: Pre-Post Interventional Study,Infection and Drug Resistance,10.2147/idr.s324865,"OBJECTIVE: The aim of this study was to assess the impact of an online educational workshop on improving the knowledge, and perception of community pharmacists in Jordan towards the antimicrobial stewardship (AMS) and enhancing their ability to appropriately select correct antibiotic therapy. METHODS: This is a pre-post study that was conducted in Jordan in December 2020. An electronic questionnaire was used to assess the awareness, perception of community pharmacists towards AMS, and their a...",,Include,Educational intervention → pharmacist knowledge and AB dispensing (Jordan = LMIC-adjacent; verify),,,,,[AUTO] Strong inclusion signal,HIGH,
REC-1678,OpenAlex,Xiaolin Wei; Zhitong Zhang; Joseph Paul Hicks; John Walley; Rebecca King et al.,2019,Long-term outcomes of an educational intervention to reduce antibiotic prescribing for childhood upper respiratory tract infections in rural China: Follow-up of a cluster-randomised controlled trial,PLoS Medicine,10.1371/journal.pmed.1002733,"BACKGROUND: Inappropriate antibiotic prescribing causes widespread serious health problems. To reduce prescribing of antibiotics in Chinese primary care to children with upper respiratory tract infections (URTIs), we developed an intervention comprising clinical guidelines, monthly prescribing review meetings, doctor-patient communication skills training, and education materials for caregivers. We previously evaluated our intervention using an unblinded cluster-randomised controlled trial (cR...",,Include,Educational intervention → antibiotic prescribing children - verify if pharmacy-based,,,,,[AUTO] Strong inclusion signal,HIGH,
REC-1727,PubMed,Chowdhury Fahmida; Sturm-Ramirez Katharine; Mamun Abdullah Al; Iuliano A Danielle; Chisti Mohammod Jobayer et al.,2018,"Effectiveness of an educational intervention to improve antibiotic dispensing practices for acute respiratory illness among drug sellers in pharmacies, a pilot study in Bangladesh.",BMC Health Serv Res,10.1186/s12913-018-3486-y,"BACKGROUND: Inappropriate dispensing of antibiotics for acute respiratory illness (ARI) is common among drug sellers in Bangladesh. In this study, we evaluated the impact of an educational intervention to promote guidelines for better ARI management among drug sellers. METHODS: From June 2012 to December 2013, we conducted baseline and post-intervention surveys on dispensing practices in 100 pharmacies within Dhaka city. In these surveys, drug sellers participated in 6 standardized role-playi...",,Include,Educational intervention → antibiotic dispensing practices - community pharmacy,,,,,[AUTO-R2] Title match - verify,HIGH,
REC-2171,PubMed,Simba Daudi; Kakoko Deodatus; Semali Innocent; Kessy Anna; Embrey Martha,2016,Household Knowledge of Antimicrobials and Antimicrobial Resistance in the Wake of an Accredited Drug Dispensing Outlet (ADDO) Program Rollout in Tanzania.,PLoS One,10.1371/journal.pone.0163246,"INTRODUCTION: Private sector drug shops are an important source of medicines in Tanzania. In 2003, the government introduced the accredited drug dispensing outlet (ADDO) program to improve access to good-quality medicines in rural and peri-urban areas that have frequent drug shortages in public health facilities and few or no registered pharmacies. However, increasing access may also contribute to antimicrobial resistance (AMR) due to the potential overuse and misuse of drugs. METHODS: We con...",,Include,ADDO (accredited drug dispensing outlet) knowledge study - verify if intervention component,,,,,[AUTO-R2] Title match - verify,HIGH,
REC-2219,OpenAlex,Edmund Rutta; Jafary Liana; Martha Embrey; Keith Johnson; Suleiman Kimatta et al.,2015,Accrediting retail drug shops to strengthen Tanzania’s public health system: an ADDO case study,Journal of Pharmaceutical Policy and Practice,10.1186/s40545-015-0044-4,"INTRODUCTION: Retail drug sellers are a major source of health care and medicines in many countries. In Tanzania, drug shops are widely used, particularly in rural and underserved areas. Previously, the shops were allowed to sell only over-the-counter medicines, but sellers who were untrained and unqualified often illegally sold prescription drugs of questionable quality. CASE DESCRIPTION: In 2003, we worked with Tanzania's Ministry of Health and Social Welfare to develop a public-private par...",,Include,ADDO accreditation intervention → Tanzania retail drug shops,,,,,[AUTO-R2] Title match - verify,HIGH,
