record_id,database_source,author,year,title,journal,doi,abstract_snippet,duplicate_of,ta_decision,ta_exclusion_reason,ft_available,ft_decision,ft_exclusion_reason,included_in_review,notes,ta_confidence,screening_signal
REC-0002,OpenAlex,Abdulghani Aljermmy,2026,"Non-prescription acquisition of antibiotics in community pharmacies in Marib, Yemen: a cross-sectional study",Research Square,10.21203/rs.3.rs-8971365/v1,,,Maybe,No abstract - cannot screen; retrieve full text,,,,,[AUTO-R2] Title match - verify,LOW,
REC-0004,OpenAlex,Abdullahi Abdulrasheed; Josiane Awan Kfutua Aben; Abubakar Abubakar Musa; Balkisu Abubakar; Abdu Bello Gololo,2026,"Non-Prescription Antibiotic Dispensing and Community Antimicrobial Resistance Risk in Kaduna Metropolis, Nigeria: A Mixed-Methods Geospatial Study",International Journal of Global Health and Epidemiology,10.54117/e6nz4q98,"Background: Antimicrobial resistance (AMR) poses one of the most serious public health threats globally, with disproportionate burden in low- and middle-income countries such as Nigeria. Non-prescription antibiotic dispensing at pharmacy and patent medicine vendor (PPMV) outlets is an under-regulated driver of AMR risk. This study investigated pharmaceutical outlet distribution, non-prescription antibiotic dispensing, and social network dynamics as drivers of AMR risk in Kaduna metropolis, Ni...",,Maybe,Community pharmacy + LMIC + AB dispensing - verify study design for intervention arm,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0010,OpenAlex,Anan S Jarab; Walid A Al Qerem; Karem H. Alzoubi; Shrouq Abu Heshmeh; Ahmad nor Aldin Alzoubi et al.,2026,"Pharmacists’ knowledge, attitudes, and practices of dispensing antibiotics without a prescription",Pharmacy Practice,10.18549/pharmpract.2025.4.3250,"Background: Antibiotics have become some of the most widely used and essential tools in the healthcare system, with the advantage of saving millions of lives. However, the overuse and misuse of antibiotics led to the emergence of resistant microorganisms. Objective: To assess community pharmacists’ knowledge, attitude, and practice in relation to dispensing antibiotics without prescription. Methods: In this cross sectional study, a validated survey was distributed in person as Google Forms to...",,Maybe,Possible relevance - verify study design,,,,,[AUTO-R2] Title match - verify,MEDIUM,
REC-0018,PubMed,Bustami Mona; Abed Anas; Almazari Inas; AlQatarneh Rahaf; Abu Assab Shahd et al.,2026,Non-prescription antibiotic dispensing in community pharmacies in jordan: a simulated patient study.,Libyan J Med,10.1080/19932820.2026.2713956,"Inappropriate antibiotic use in community settings is a major contributor to antimicrobial resistance, particularly in low- and middle-income countries where regulatory enforcement may be inconsistent. Community pharmacies are a critical interface between health systems and the public; however, real-world dispensing practices remain insufficiently characterized in many settings. This study evaluated the prevalence, behavioral drivers, and clinical quality of non-prescription antibiotic dispen...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0019,PubMed,Caamaño-López Juan Camilo; Torres-Chaverra Rafael José; Fonseca-Meneses Aylem Nathalia; Pérez-Cujia Eliat Jabit; Domínguez-Quintero Valentina et al.,2026,"High prevalence of antibiotic purchase without prescription in community pharmacies in Bucaramanga, Colombia.",IJID Reg,10.1016/j.ijregi.2026.100956,"OBJECTIVES: Self-medication is a key driver of antimicrobial resistance, and despite regulatory restrictions in Colombia, nonprescription antibiotic sales remain a significant public health concern. This study aimed to describe the purchase of antibiotics without a prescription in community pharmacies located in neighborhoods of Bucaramanga, Colombia, and to identify associated factors. METHODS: Cross-sectional study. We included adult customers of community pharmacies in Bucaramanga (10 neig...",,Maybe,Possible relevance - verify study design,,,,,[AUTO-R2] Title match - verify,MEDIUM,
REC-0028,PubMed,Darweesh Omeed; Godman Brian; Kurdi Amanj,2026,Non-prescription antibiotic dispensing and counseling practices in Iraqi community pharmacies: implications for antimicrobial stewardship and resistance containment.,Expert Rev Anti Infect Ther,10.1080/14787210.2026.2663104,"BACKGROUND: To assess the prevalence, characteristics, dispensing practices, and counseling behavior of non-prescription antibiotic dispensing among Iraqi community pharmacies to inform antimicrobial stewardship (AMS) policy. RESEARCH DESIGN AND METHODS: A cross-sectional simulated client study was conducted among 696 pharmacies across five Iraqi provinces. Standardized scenarios of upper respiratory tract infection were used to evaluate dispensing behavior, counseling quality (defined as whe...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0033,OpenAlex,Hoa Quoc Nguyen; Suong Thi-Thanh Duong; Phuong Bao Quan; Tuyen Thanh Du; Uyen Uyen-Thao Truong et al.,2026,Practices of community pharmacists towards COVID-19 treatment in Vietnam: a simulated client study,BMC Health Services Research,10.1186/s12913-026-15395-0,"Abstract Background Recent reports have raised concerns about drug overuse and misuse in self-medication practices for COVID-19 treatment. This study was aimed to assess the availability and appropriateness of medication dispensing provided by community pharmacists to COVID-19 patients in Ho Chi Minh City, Vietnam. Methods The simulated client method was used to examine 102 randomly selected community pharmacies from 13 central districts of Ho Chi Minh City between May 2022 and July 2022. Eac...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0052,OpenAlex,Omeed Darweesh; Brian Godman; Amanj Kurdi,2026,Non-prescription antibiotic dispensing and counselling practices in Iraqi community pharmacies: implications for Antimicrobial stewardship and resistance containment,Figshare,10.6084/m9.figshare.32050093.v1,"To assess the prevalence, characteristics, dispensing practices, and counseling behavior of non-prescription antibiotic dispensing among Iraqi community pharmacies to inform antimicrobial stewardship (AMS) policy. A cross-sectional simulated client study was conducted in 696 pharmacies across five Iraqi provinces. Standardized scenarios of upper respiratory tract infection were used to evaluate dispensing behavior, counseling quality (defined as whether staff provided key counseling component...",,Maybe,Possible relevance - verify study design,,,,,[AUTO] Strong inclusion signal,MEDIUM,
REC-0064,OpenAlex,Sangita Shakya; Nur Akmar Bt Taha; Pathiyil . Ravi Shankar; Shiba Bahadur Karkee; Kiran Shakya,2026,Inappropriate antibiotic dispensing for upper respiratory tract infections in community pharmacies – a simulated patient study,Research Square,10.21203/rs.3.rs-8405237/v1,,,Maybe,No abstract - cannot screen; retrieve full text,,,,,[AUTO-R2] Title match - verify,LOW,
REC-0076,OpenAlex,Viengmany Lobliayao; Sonemany Keolangsy; Nirada Vannavong; Dao Changvisommid; Thipphaphone Keonakhone et al.,2026,Antibiotic Stewardship Practices and Drug Quality in Private Pharmacies in Lao PDR: A Mixed-Methods Study,SSRN Electronic Journal,10.2139/ssrn.6918424,,,Maybe,No abstract - cannot screen; retrieve full text,,,,,[AUTO-R2] Title match - verify,LOW,
